Date,Predicted,Actual
24/04/2014 00:00:00,25466043,6146119,39740002
25/04/2014 00:00:00,25450834,2386646,40290001
28/04/2014 00:00:00,25435674,9732272,40139999
29/04/2014 00:00:00,25420565,6532002,41099998
30/04/2014 00:00:00,25405506,1140277,40400002
01/05/2014 00:00:00,25390496,1916962,40240002
02/05/2014 00:00:00,25375535,7227325,40310001
05/05/2014 00:00:00,25360624,544202,3952
06/05/2014 00:00:00,25345762,493707,39290001
07/05/2014 00:00:00,25330949,4093847,39220001
08/05/2014 00:00:00,25316185,1299057,3934
09/05/2014 00:00:00,25301469,4944721,39540001
12/05/2014 00:00:00,25286802,3428158,39740002
13/05/2014 00:00:00,25272183,5151968,39919998
14/05/2014 00:00:00,25257612,8524012,40299999
15/05/2014 00:00:00,25243090,1957398,4009
16/05/2014 00:00:00,25228615,3870463,39669998
19/05/2014 00:00:00,25214188,2686754,39610001
20/05/2014 00:00:00,25199808,6835013,3968
21/05/2014 00:00:00,25185476,4749157,39799999
22/05/2014 00:00:00,25171191,4868264,40290001
23/05/2014 00:00:00,25156953,5636556,40369999
27/05/2014 00:00:00,25142762,5503379,40259998
28/05/2014 00:00:00,25128618,2923188,40139999
29/05/2014 00:00:00,25114520,6355531,40150002
30/05/2014 00:00:00,25100469,4265031,40450001
02/06/2014 00:00:00,25086464,512137,40950001
03/06/2014 00:00:00,25072505,7399271,40599998
04/06/2014 00:00:00,25058592,9578484,40209999
05/06/2014 00:00:00,25044726,0143765,4059
06/06/2014 00:00:00,25030904,7584866,4148
09/06/2014 00:00:00,25017129,0396511,41389999
10/06/2014 00:00:00,25003398,7078387,41029999
11/06/2014 00:00:00,24989713,6135121,4093
12/06/2014 00:00:00,24976073,6076269,40810001
13/06/2014 00:00:00,24962478,5416297,41099998
16/06/2014 00:00:00,24948928,2674565,41040001
17/06/2014 00:00:00,24935422,6375311,41290001
18/06/2014 00:00:00,24921961,5047636,41610001
19/06/2014 00:00:00,24908544,7225487,4157
20/06/2014 00:00:00,24895172,1447641,41450001
23/06/2014 00:00:00,24881843,625769,4173
24/06/2014 00:00:00,24868559,0204023,41830002
25/06/2014 00:00:00,24855318,1839813,41700001
26/06/2014 00:00:00,24842120,9722999,4193
27/06/2014 00:00:00,24828967,2416272,41610001
30/06/2014 00:00:00,24815856,8487059,42169998
01/07/2014 00:00:00,24802789,6507504,41860001
02/07/2014 00:00:00,24789765,5054458,4173
03/07/2014 00:00:00,24776784,2709462,4191
07/07/2014 00:00:00,24763845,8058726,4175
08/07/2014 00:00:00,24750949,9693122,41869999
09/07/2014 00:00:00,24738096,6208164,4198
10/07/2014 00:00:00,24725285,6203992,41369999
11/07/2014 00:00:00,24712516,8285358,41700001
14/07/2014 00:00:00,24699790,1061613,42220001
15/07/2014 00:00:00,24687105,3146689,42330002
16/07/2014 00:00:00,24674462,3159083,42509998
17/07/2014 00:00:00,24661860,9721846,45450001
18/07/2014 00:00:00,24649301,1462564,44650002
21/07/2014 00:00:00,24636782,7013345,44560001
22/07/2014 00:00:00,24624305,5010805,4500
23/07/2014 00:00:00,24611869,4096051,45450001
24/07/2014 00:00:00,24599474,2914666,4493
25/07/2014 00:00:00,24587120,0116698,44299999
28/07/2014 00:00:00,24574806,4356641,44360001
29/07/2014 00:00:00,24562533,4293422,4391
30/07/2014 00:00:00,24550300,8590387,4407
31/07/2014 00:00:00,24538108,5915286,43380001
01/08/2014 00:00:00,24525956,4940257,43209999
04/08/2014 00:00:00,24513844,4341816,42970001
05/08/2014 00:00:00,24501772,2800837,43310001
06/08/2014 00:00:00,24489739,900254,42740002
07/08/2014 00:00:00,24477747,1636477,4284
08/08/2014 00:00:00,24465793,9396519,4323
11/08/2014 00:00:00,24453880,098084,43259998
12/08/2014 00:00:00,24442005,5091901,43040001
13/08/2014 00:00:00,24430170,043644,4368
14/08/2014 00:00:00,24418373,5725456,44080002
15/08/2014 00:00:00,24406615,9674194,44580002
18/08/2014 00:00:00,24394897,1002132,44939999
19/08/2014 00:00:00,24383216,8432968,44970001
20/08/2014 00:00:00,24371575,0694603,4534
21/08/2014 00:00:00,24359971,6519132,4484
22/08/2014 00:00:00,24348406,4642824,45349998
25/08/2014 00:00:00,24336879,3806115,45400002
26/08/2014 00:00:00,24325390,2753588,45310001
27/08/2014 00:00:00,24313939,0233965,44900002
28/08/2014 00:00:00,24302525,5000088,4475
29/08/2014 00:00:00,24291149,580891,4509
02/09/2014 00:00:00,24279811,1421478,4543
03/09/2014 00:00:00,24268510,0602922,44529999
04/09/2014 00:00:00,24257246,2122441,44740002
05/09/2014 00:00:00,24246019,4753287,45110001
08/09/2014 00:00:00,24234829,7272756,4602
09/09/2014 00:00:00,24223676,8462172,46470001
10/09/2014 00:00:00,24212560,7106873,4682
11/09/2014 00:00:00,24201481,1996199,46740002
12/09/2014 00:00:00,24190438,1923481,4691
15/09/2014 00:00:00,24179431,5686024,46540001
16/09/2014 00:00:00,24168461,2085095,46389999
17/09/2014 00:00:00,24157526,9925911,46259998
18/09/2014 00:00:00,24146628,8017627,4659
19/09/2014 00:00:00,24135766,5173318,46810001
22/09/2014 00:00:00,24124940,0209974,47299999
23/09/2014 00:00:00,24114149,1948479,46849998
24/09/2014 00:00:00,24103393,9213603,46630001
25/09/2014 00:00:00,24092674,0833989,46880001
26/09/2014 00:00:00,24081989,5642139,4593
29/09/2014 00:00:00,24071340,2474399,4598
30/09/2014 00:00:00,24060726,0170954,46369999
01/10/2014 00:00:00,24050146,7575804,4627
02/10/2014 00:00:00,24039602,3536764,45830002
03/10/2014 00:00:00,24029092,690544,4598
06/10/2014 00:00:00,24018617,6537225,46119999
07/10/2014 00:00:00,24008177,1291281,45860001
08/10/2014 00:00:00,23997771,003053,4548
09/10/2014 00:00:00,23987399,162164,4650
10/10/2014 00:00:00,23977061,4935013,45599998
13/10/2014 00:00:00,23966757,8844772,4382
14/10/2014 00:00:00,23956488,222875,43869999
15/10/2014 00:00:00,23946252,3968479,4300
16/10/2014 00:00:00,23936050,2949172,42529999
17/10/2014 00:00:00,23925881,8059719,43200001
20/10/2014 00:00:00,23915746,8192668,43060001
21/10/2014 00:00:00,23905645,2244217,44360001
22/10/2014 00:00:00,23895576,9114201,4500
23/10/2014 00:00:00,23885541,7706078,44619999
24/10/2014 00:00:00,23875539,6926922,46830002
27/10/2014 00:00:00,23865570,5687403,45709999
28/10/2014 00:00:00,23855634,2901786,45860001
29/10/2014 00:00:00,23845730,7487907,46439999
30/10/2014 00:00:00,23835859,8367173,4632
31/10/2014 00:00:00,23826021,4464541,46939999
03/11/2014 00:00:00,23816215,4708511,46889999
04/11/2014 00:00:00,23806441,8031114,47299999
05/11/2014 00:00:00,23796700,3367898,47799999
06/11/2014 00:00:00,23786990,965792,47860001
07/11/2014 00:00:00,23777313,5843731,48919998
10/11/2014 00:00:00,23767668,0871367,48650002
11/11/2014 00:00:00,23758054,3690336,48849998
12/11/2014 00:00:00,23748472,3253607,48560001
13/11/2014 00:00:00,23738921,8517599,48810001
14/11/2014 00:00:00,23729402,844217,49740002
17/11/2014 00:00:00,23719915,1990602,4941
18/11/2014 00:00:00,23710458,8129596,49130001
19/11/2014 00:00:00,23701033,5829256,4866
20/11/2014 00:00:00,23691639,406308,4800
21/11/2014 00:00:00,23682276,1807947,4902
24/11/2014 00:00:00,23672943,8044107,47990002
25/11/2014 00:00:00,23663642,175517,4766
26/11/2014 00:00:00,23654371,1928095,47490002
28/11/2014 00:00:00,23645130,7553179,47950001
01/12/2014 00:00:00,23635920,7624045,47880001
02/12/2014 00:00:00,23626741,1137632,4884
03/12/2014 00:00:00,23617591,7094183,48439999
04/12/2014 00:00:00,23608472,4497237,48389999
05/12/2014 00:00:00,23599383,2353613,4882
08/12/2014 00:00:00,23590323,9673404,48259998
09/12/2014 00:00:00,23581294,5469966,47110001
10/12/2014 00:00:00,23572294,8759902,47580002
11/12/2014 00:00:00,23563324,8563059,47080002
12/12/2014 00:00:00,23554384,390251,46779999
15/12/2014 00:00:00,23545473,3804549,47200001
16/12/2014 00:00:00,23536591,7298677,45900002
17/12/2014 00:00:00,23527739,3417592,45049999
18/12/2014 00:00:00,23518916,119718,46580002
19/12/2014 00:00:00,23510121,9676504,47630001
22/12/2014 00:00:00,23501356,7897791,47779999
23/12/2014 00:00:00,23492620,4906425,48369999
24/12/2014 00:00:00,23483912,9750935,48639999
26/12/2014 00:00:00,23475234,1482985,4841
29/12/2014 00:00:00,23466583,9157364,47700001
30/12/2014 00:00:00,23457962,1831972,47439999
31/12/2014 00:00:00,23449368,8567818,4673
02/01/2015 00:00:00,23440803,8429001,4666
05/01/2015 00:00:00,23432267,0482705,46369999
06/01/2015 00:00:00,23423758,3799186,46380001
07/01/2015 00:00:00,23415277,7451765,4598
08/01/2015 00:00:00,23406825,0516815,4675
09/01/2015 00:00:00,23398400,2073753,47610001
12/01/2015 00:00:00,23390003,1205028,47419998
13/01/2015 00:00:00,23381633,6996113,46970001
14/01/2015 00:00:00,23373291,8535493,45959999
15/01/2015 00:00:00,23364977,4914657,46220001
16/01/2015 00:00:00,23356690,5228088,45310001
20/01/2015 00:00:00,23348430,8573251,46299999
21/01/2015 00:00:00,23340198,4050585,45939999
22/01/2015 00:00:00,23331993,0763492,46380001
23/01/2015 00:00:00,23323814,7818331,47360001
26/01/2015 00:00:00,23315663,4324402,4700
27/01/2015 00:00:00,23307538,9393941,42950001
28/01/2015 00:00:00,23299441,2142108,42740002
29/01/2015 00:00:00,23291370,1686981,4093
30/01/2015 00:00:00,23283325,714954,41549999
02/02/2015 00:00:00,23275307,7653664,4059
03/02/2015 00:00:00,23267316,2326117,41630001
04/02/2015 00:00:00,23259351,029654,41939999
05/02/2015 00:00:00,23251412,0697443,42220001
06/02/2015 00:00:00,23243499,2664193,4268
09/02/2015 00:00:00,23235612,5335005,42240002
10/02/2015 00:00:00,23227751,7850935,42740002
11/02/2015 00:00:00,23219916,9355868,42650002
12/02/2015 00:00:00,23212107,8996511,4266
13/02/2015 00:00:00,23204324,5922379,43380001
17/02/2015 00:00:00,23196566,9285793,43970001
18/02/2015 00:00:00,23188834,8241865,43630001
19/02/2015 00:00:00,23181128,1948491,4318
20/02/2015 00:00:00,23173446,9566341,43509998
23/02/2015 00:00:00,23165791,025885,43700001
24/02/2015 00:00:00,23158160,3192212,44150002
25/02/2015 00:00:00,23150554,7535364,43950001
26/02/2015 00:00:00,23142974,2459983,43990002
27/02/2015 00:00:00,23135418,7140478,44130001
02/03/2015 00:00:00,23127888,0753972,43669998
03/03/2015 00:00:00,23120382,2480305,43560001
04/03/2015 00:00:00,23112901,1502016,43009998
05/03/2015 00:00:00,23105444,7004338,4307
06/03/2015 00:00:00,23098012,8175188,4300
09/03/2015 00:00:00,23090605,4205159,42189999
10/03/2015 00:00:00,23083222,4287512,42349998
11/03/2015 00:00:00,23075863,7618163,42310001
12/03/2015 00:00:00,23068529,339568,41330002
13/03/2015 00:00:00,23061219,082127,40700001
16/03/2015 00:00:00,23053932,9098773,41470001
17/03/2015 00:00:00,23046670,743465,41369999
18/03/2015 00:00:00,23039432,503798,4143
19/03/2015 00:00:00,23032218,1120444,42259998
20/03/2015 00:00:00,23025027,4896322,42560001
23/03/2015 00:00:00,23017860,5582483,42880001
24/03/2015 00:00:00,23010717,2398376,42779999
25/03/2015 00:00:00,23003597,4566022,42919998
26/03/2015 00:00:00,22996501,1310004,41220001
27/03/2015 00:00:00,22989428,1857462,41119999
30/03/2015 00:00:00,22982378,5438079,41099998
31/03/2015 00:00:00,22975352,1284079,40779999
01/04/2015 00:00:00,22968348,8630215,40599998
02/04/2015 00:00:00,22961368,6713759,4066
06/04/2015 00:00:00,22954411,47745,4034
07/04/2015 00:00:00,22947477,2054728,41610001
08/04/2015 00:00:00,22940565,7799231,41459999
09/04/2015 00:00:00,22933677,1255285,4125
10/04/2015 00:00:00,22926811,1672646,41630001
13/04/2015 00:00:00,22919967,8303543,41400002
14/04/2015 00:00:00,22913147,0402666,41799999
15/04/2015 00:00:00,22906348,7227164,41759998
16/04/2015 00:00:00,22899572,803663,41950001
17/04/2015 00:00:00,22892819,2093099,41669998
20/04/2015 00:00:00,22886087,8661036,4173
21/04/2015 00:00:00,22879378,700733,4300
22/04/2015 00:00:00,22872691,6401286,42669998
23/04/2015 00:00:00,22866026,6114614,42889999
24/04/2015 00:00:00,22859383,5421426,4566
27/04/2015 00:00:00,22852762,3598226,4723
28/04/2015 00:00:00,22846162,9923899,47779999
29/04/2015 00:00:00,22839585,3679707,48720001
30/04/2015 00:00:00,22833029,4149282,48700001
01/05/2015 00:00:00,22826495,0618613,48580002
04/05/2015 00:00:00,22819982,2376044,48369999
05/05/2015 00:00:00,22813490,8712262,4782
06/05/2015 00:00:00,22807020,8920293,4757
07/05/2015 00:00:00,22800572,229549,4627
08/05/2015 00:00:00,22794144,8135529,47549999
11/05/2015 00:00:00,22787738,5740399,47549999
12/05/2015 00:00:00,22781353,4412397,46849998
13/05/2015 00:00:00,22774989,3456117,48189999
14/05/2015 00:00:00,22768646,2178444,48029999
15/05/2015 00:00:00,22762323,9888549,48869999
18/05/2015 00:00:00,22756022,5897877,4798
19/05/2015 00:00:00,22749741,9520142,47560001
20/05/2015 00:00:00,22743482,0071319,47389999
21/05/2015 00:00:00,22737242,6869636,47279999
22/05/2015 00:00:00,22731023,923557,47299999
26/05/2015 00:00:00,22724825,6491834,46830002
27/05/2015 00:00:00,22718647,7963373,4682
28/05/2015 00:00:00,22712490,2977358,4750
29/05/2015 00:00:00,22706353,0863173,4743
01/06/2015 00:00:00,22700236,0952416,47060001
02/06/2015 00:00:00,22694139,2578884,4693
03/06/2015 00:00:00,22688062,507857,47369999
04/06/2015 00:00:00,22682005,7789654,46790001
05/06/2015 00:00:00,22675969,0052499,46310001
08/06/2015 00:00:00,22669952,1209637,46299999
09/06/2015 00:00:00,22663955,0605771,45759998
10/06/2015 00:00:00,22657977,7587759,45790001
11/06/2015 00:00:00,22652020,1504613,4666
12/06/2015 00:00:00,22646082,170749,46220001
15/06/2015 00:00:00,22640163,7549683,45450001
16/06/2015 00:00:00,22634264,8386618,45349998
17/06/2015 00:00:00,22628385,3575842,4573
18/06/2015 00:00:00,22622525,2477022,46220001
19/06/2015 00:00:00,22616684,4451933,46790001
22/06/2015 00:00:00,22610862,8864451,46330002
23/06/2015 00:00:00,22605060,508055,46130001
24/06/2015 00:00:00,22599277,2468293,45669998
25/06/2015 00:00:00,22593513,0397825,46029999
26/06/2015 00:00:00,22587767,8241365,45650002
29/06/2015 00:00:00,22582041,5373201,45040001
30/06/2015 00:00:00,22576334,1169683,44709999
01/07/2015 00:00:00,22570645,5009215,44459999
02/07/2015 00:00:00,22564975,627225,4448
06/07/2015 00:00:00,22559324,4341281,43959999
07/07/2015 00:00:00,22553691,8600836,4434
08/07/2015 00:00:00,22548077,8437471,44439999
09/07/2015 00:00:00,22542482,3239764,4475
10/07/2015 00:00:00,22536905,2398305,45009998
13/07/2015 00:00:00,22531346,5305694,4498
14/07/2015 00:00:00,22525806,1356531,45450001
15/07/2015 00:00:00,22520283,9947412,4568
16/07/2015 00:00:00,22514780,0476919,46009998
17/07/2015 00:00:00,22509294,2345618,46549999
20/07/2015 00:00:00,22503826,4956048,46650002
21/07/2015 00:00:00,22498376,7712718,46779999
22/07/2015 00:00:00,22492945,0022096,45439999
23/07/2015 00:00:00,22487531,1292609,4527
24/07/2015 00:00:00,22482135,0934631,4591
27/07/2015 00:00:00,22476756,836048,45939999
28/07/2015 00:00:00,22471396,2984409,45580002
29/07/2015 00:00:00,22466053,4222602,45400002
30/07/2015 00:00:00,22460728,1493166,46259998
31/07/2015 00:00:00,22455420,4216124,47290001
03/08/2015 00:00:00,22450130,1813411,4698
04/08/2015 00:00:00,22444857,3708867,4675
05/08/2015 00:00:00,22439601,9328231,4798
06/08/2015 00:00:00,22434363,8099131,47709999
07/08/2015 00:00:00,22429142,9451082,46389999
10/08/2015 00:00:00,22423939,2815482,46950001
11/08/2015 00:00:00,22418752,7625597,4682
12/08/2015 00:00:00,22413583,3316564,46189999
13/08/2015 00:00:00,22408430,9325379,47060001
14/08/2015 00:00:00,22403295,5090895,46529999
17/08/2015 00:00:00,22398177,0053812,46810001
18/08/2015 00:00:00,22393075,3656673,4684
19/08/2015 00:00:00,22387990,5343858,46779999
20/08/2015 00:00:00,22382922,4561578,4607
21/08/2015 00:00:00,22377871,0757868,45299999
24/08/2015 00:00:00,22372836,3382582,40450001
25/08/2015 00:00:00,22367818,1887385,4257
26/08/2015 00:00:00,22362816,5725752,42009998
27/08/2015 00:00:00,22357831,4352955,4323
28/08/2015 00:00:00,22352862,7226064,43400002
31/08/2015 00:00:00,22347910,3803934,43560001
01/09/2015 00:00:00,22342974,3547206,42169998
02/09/2015 00:00:00,22338054,5918297,42360001
03/09/2015 00:00:00,22333151,0381395,4341
04/09/2015 00:00:00,22328263,6402453,42810001
08/09/2015 00:00:00,22323392,3449186,43299999
09/09/2015 00:00:00,22318537,0991059,44209999
10/09/2015 00:00:00,22313697,8499287,43119999
11/09/2015 00:00:00,22308874,5446828,43139999
14/09/2015 00:00:00,22304067,1308375,4343
15/09/2015 00:00:00,22299275,5560351,43189999
16/09/2015 00:00:00,22294499,7680907,43970001
17/09/2015 00:00:00,22289739,714991,44290001
18/09/2015 00:00:00,22284995,3448943,4350
21/09/2015 00:00:00,22280266,6061296,43619999
22/09/2015 00:00:00,22275553,4471962,43380001
23/09/2015 00:00:00,22270855,816763,4393
24/09/2015 00:00:00,22266173,6636681,43450001
25/09/2015 00:00:00,22261506,9369181,4448
28/09/2015 00:00:00,22256855,5856877,43830002
29/09/2015 00:00:00,22252219,5593189,43369999
30/09/2015 00:00:00,22247598,8073208,43880001
01/10/2015 00:00:00,22242993,2793687,4475
02/10/2015 00:00:00,22238402,9253038,4427
05/10/2015 00:00:00,22233827,6951324,4575
06/10/2015 00:00:00,22229267,5390258,46330002
07/10/2015 00:00:00,22224722,4073191,47099998
08/10/2015 00:00:00,22220192,2505114,46560001
09/10/2015 00:00:00,22215677,0192647,47450001
12/10/2015 00:00:00,22211176,6644035,4698
13/10/2015 00:00:00,22206691,1369144,46560001
14/10/2015 00:00:00,22202220,3879456,46650002
15/10/2015 00:00:00,22197764,368806,47009998
16/10/2015 00:00:00,22193323,0309652,4702
19/10/2015 00:00:00,22188896,3260524,47419998
20/10/2015 00:00:00,22184484,2058564,47439999
21/10/2015 00:00:00,22180086,6223248,47919998
22/10/2015 00:00:00,22175703,5275633,47529999
23/10/2015 00:00:00,22171334,8738358,52299999
26/10/2015 00:00:00,22166980,6135632,52529999
27/10/2015 00:00:00,22162640,6993231,53990002
28/10/2015 00:00:00,22158315,0838496,53540001
29/10/2015 00:00:00,22154003,7200323,53540001
30/10/2015 00:00:00,22149706,5609161,5332
02/11/2015 00:00:00,22145423,5597007,52849998
03/11/2015 00:00:00,22141154,6697398,5293
04/11/2015 00:00:00,22136899,8445408,5418
05/11/2015 00:00:00,22132659,0377646,54490002
06/11/2015 00:00:00,22128432,2032244,5409
09/11/2015 00:00:00,22124219,2948857,54549999
10/11/2015 00:00:00,22120020,2668656,5407
11/11/2015 00:00:00,22115835,0734327,53700001
12/11/2015 00:00:00,22111663,6690058,5348
13/11/2015 00:00:00,22107506,0081542,5307
16/11/2015 00:00:00,22103362,0455967,53080002
17/11/2015 00:00:00,22099231,7362015,53169998
18/11/2015 00:00:00,22095115,0349852,5300
19/11/2015 00:00:00,22091011,8971129,53990002
20/11/2015 00:00:00,22086922,2778973,5425
23/11/2015 00:00:00,22082846,1327982,5425
24/11/2015 00:00:00,22078783,4174224,53919998
25/11/2015 00:00:00,22074734,0875227,5409
27/11/2015 00:00:00,22070698,098998,53799999
30/11/2015 00:00:00,22066675,4078921,54540001
01/12/2015 00:00:00,22062665,970394,5441
02/12/2015 00:00:00,22058669,7428368,5532
03/12/2015 00:00:00,22054686,6816976,55490002
04/12/2015 00:00:00,22050716,7435969,54119999
07/12/2015 00:00:00,22046759,8852979,55790001
08/12/2015 00:00:00,22042816,0637065,55470001
09/12/2015 00:00:00,22038885,2358706,55369999
10/12/2015 00:00:00,22034967,3589794,55389999
11/12/2015 00:00:00,22031062,3903633,54709999
14/12/2015 00:00:00,22027170,2874933,54330002
15/12/2015 00:00:00,22023291,0079804,5566
16/12/2015 00:00:00,22019424,5095754,55540001
17/12/2015 00:00:00,22015570,7501683,56360001
18/12/2015 00:00:00,22011729,6877876,5577
21/12/2015 00:00:00,22007901,2806004,54880001
22/12/2015 00:00:00,22004085,4869113,54990002
23/12/2015 00:00:00,22000282,2651627,55700001
24/12/2015 00:00:00,21996491,5739336,55860001
28/12/2015 00:00:00,21992713,3719394,55349998
29/12/2015 00:00:00,21988947,6180319,56290001
30/12/2015 00:00:00,21985194,2711981,56470001
31/12/2015 00:00:00,21981453,2905602,56040001
04/01/2016 00:00:00,21977724,6353754,5432
05/01/2016 00:00:00,21974008,2650346,5493
06/01/2016 00:00:00,21970304,139063,5432
07/01/2016 00:00:00,21966612,2171188,52700001
08/01/2016 00:00:00,21962932,4589933,52369999
11/01/2016 00:00:00,21959264,8246103,52509998
12/01/2016 00:00:00,21955609,2740254,52759998
13/01/2016 00:00:00,21951965,767426,53799999
14/01/2016 00:00:00,21948334,2651308,5200
15/01/2016 00:00:00,21944714,7275889,51310001
19/01/2016 00:00:00,21941107,1153799,5148
20/01/2016 00:00:00,21937511,3892134,4998
21/01/2016 00:00:00,21933927,5099282,5100
22/01/2016 00:00:00,21930355,4384922,5141
25/01/2016 00:00:00,21926795,1360021,51939999
26/01/2016 00:00:00,21923246,5636825,51790001
27/01/2016 00:00:00,21919709,6828859,52009998
28/01/2016 00:00:00,21916184,4550921,51860001
29/01/2016 00:00:00,21912670,8419078,5473
01/02/2016 00:00:00,21909168,8050663,54880001
02/02/2016 00:00:00,21905678,3064267,54169998
03/02/2016 00:00:00,21902199,3079741,5325
04/02/2016 00:00:00,21898731,7718187,52099998
05/02/2016 00:00:00,21895275,6601954,51939999
08/02/2016 00:00:00,21891830,9354638,49549999
09/02/2016 00:00:00,21888397,5601074,4902
10/02/2016 00:00:00,21884975,4967331,49889999
11/02/2016 00:00:00,21881564,7080713,4868
12/02/2016 00:00:00,21878165,1569751,5025
